"eyeDataTimestamp","eyeDataRelativeTimestamp","frameTimestamp","isCalibrationValid","gazeHasValue","gazeOrigin_x","gazeOrigin_y","gazeOrigin_z","gazeDirection_x","gazeDirection_y","gazeDirection_z","gazePointHit","gazePoint_x","gazePoint_y","gazePoint_z","gazePoint_target_name","gazePoint_target_x","gazePoint_target_y","gazePoint_target_z","gazePoint_target_pos_x","gazePoint_target_pos_y","gazePoint_target_pos_z","gazePoint_target_rot_x","gazePoint_target_rot_y","gazePoint_target_rot_z","gazePoint_target_scale_x","gazePoint_target_scale_y","gazePoint_target_scale_z","gazePointLeftScreen_x","gazePointLeftScreen_y","gazePointLeftScreen_z","gazePointRightScreen_x","gazePointRightScreen_y","gazePointRightScreen_z","gazePointMonoScreen_x","gazePointMonoScreen_y","gazePointMonoScreen_z","GazePointWebcam_x","GazePointWebcam_y","GazePointWebcam_z","gazePointAOIHit","gazePointAOI_x","gazePointAOI_y","gazePointAOI_z","gazePointAOI_name","gazePointAOI_target_x","gazePointAOI_target_y","gazePointAOI_target_z","gazePointAOI_target_pos_x","gazePointAOI_target_pos_y","gazePointAOI_target_pos_z","gazePointAOI_target_rot_x","gazePointAOI_target_rot_y","gazePointAOI_target_rot_z","gazePointAOI_target_scale_x","gazePointAOI_target_scale_y","gazePointAOI_target_scale_z","GazePointAOIWebcam_x","GazePointAOIWebcam_y","GazePointAOIWebcam_z","info","velocity","modified","classification","eventIndex","eventType","eventDuration","fixation_x","fixation_y","fixation_z"
1644850298559,445367.6811,1644850298593,"True",TRUE,5.10588,0.08544,1.07519,0.9743,0.20164,-0.10044,"True",6.51827,0.37776,0.92959,"SpatialMesh - 1027",0.88131,0.88213,-0.54984,5.78836,-0.16288,1.94552,89.56931,336.0381,236.7454,1,1,1,628.5863,622.928,1.45239,616.0839,628.176,1.45221,620.779,625.1765,1.45204,433.9597,330.1354,1.40167,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"gap",1,"gap",33.3339000000269,NA,NA,NA
1644850298593,445401.015,1644850298613,"True",TRUE,5.1054,0.08523,1.0751,0.97507,0.20015,-0.09583,"True",6.5186,0.37531,0.93622,"SpatialMesh - 1027",0.87473,0.88139,-0.54734,5.78836,-0.16288,1.94552,89.57021,336.0386,236.7458,1,1,1,610.3826,623.1761,1.45104,597.8459,628.5561,1.45119,602.2638,625.49,1.45086,426.3102,330.1654,1.40052,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3326714038635,FALSE,"fixation",2,"fixation",66.6679000000004,6.5186,0.37531,0.93622
1644850298626,445434.349,1644850298643,"True",TRUE,5.10413,0.08479,1.07251,0.95837,0.20189,-0.20192,"True",6.51094,0.38116,0.7761,"SpatialMesh - 1027",1.03394,0.89967,-0.55427,5.78836,-0.16288,1.94552,89.56976,336.0396,236.7469,1,1,1,793.151,637.606,1.47121,781.8224,641.7364,1.46803,788.5938,639.2733,1.46936,503.2119,336.9716,1.41863,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.923328253047,FALSE,"saccade",3,"saccade",66.6679000000004,NA,NA,NA
1644850298659,445467.6829,1644850298693,"True",FALSE,5.10415,0.08458,1.07716,0.92837,0.18851,-0.30237,NA,6.50838,0.3694,0.61472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"gap",4,"gap",100.001800000027,NA,NA,NA
1644850298693,445501.0168,1644850298714,"True",TRUE,5.10417,0.08438,1.08181,0.89837,0.17514,-0.40282,"True",6.50582,0.35764,0.45334,"Sphere (2)",0.28645,-0.27971,-0.29968,6.52017,0.37243,0.46749,357.2256,90.2865,359.5936,0.05,0.05,0.05,1149.573,601.696,1.5249,1143.092,602.873,1.51481,1153.214,601.9608,1.51961,653.8176,323.8766,1.46831,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"gap",4,"gap",100.001800000027,NA,NA,NA
1644850298726,445534.3508,1644850298813,"True",TRUE,5.10405,0.08409,1.082,0.8966,0.17325,-0.40754,"True",6.53377,0.36036,0.43214,"SpatialMesh - 1058",-1.05019,0.97781,-0.5359,5.39756,-0.1781,-0.44267,89.56931,335.993,236.7001,1,1,1,1143.887,609.9591,1.55935,1139.046,611.1884,1.54918,1148.264,610.2387,1.55401,651.6141,327.7585,1.50265,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.24065800496019,FALSE,"fixation",5,"fixation",833.348300000012,6.53374708333333,0.35663375,0.43494125
1644850298759,445567.6847,1644850298813,"True",TRUE,5.10372,0.08359,1.08187,0.89594,0.17065,-0.4101,"True",6.5336,0.35595,0.42736,"SpatialMesh - 1058",-1.04542,0.97843,-0.53153,5.39756,-0.1781,-0.44267,89.56931,335.993,236.7001,1,1,1,1149.26,604.6829,1.55967,1144.45,605.8179,1.54939,1153.74,604.9248,1.55428,653.8923,325.5908,1.50294,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91840876547457,FALSE,"fixation",5,"fixation",833.348300000012,6.53374708333333,0.35663375,0.43494125
1644850298793,445601.0186,1644850298813,"True",TRUE,5.10333,0.08339,1.08044,0.8982,0.17225,-0.40443,"True",6.53401,0.35776,0.43625,"SpatialMesh - 1058",-1.05427,0.97739,-0.53328,5.39756,-0.1781,-0.44267,89.56931,335.993,236.7001,1,1,1,1139.392,607.0541,1.5585,1134.436,608.2883,1.54843,1143.639,607.3411,1.55321,649.7199,326.5303,1.50188,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.26440042378081,FALSE,"fixation",5,"fixation",833.348300000012,6.53374708333333,0.35663375,0.43494125
1644850298826,445634.3526,1644850298844,"True",TRUE,5.103,0.08315,1.08062,0.8988,0.17202,-0.40321,"True",6.5341,0.35704,0.43862,"SpatialMesh - 1058",-1.05659,0.97713,-0.53254,5.39756,-0.1781,-0.44267,89.57249,336.1089,236.817,1,1,1,1119.238,618.0159,1.56155,1114.298,619.5002,1.55185,1123.168,618.4084,1.55645,641.2208,331.0571,1.50511,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44737821974605,FALSE,"fixation",5,"fixation",833.348300000012,6.53374708333333,0.35663375,0.43494125
1644850298859,445667.6865,1644850298873,"True",TRUE,5.10263,0.08292,1.08152,0.89898,0.17147,-0.40303,"True",6.53419,0.35597,0.43972,"SpatialMesh - 1058",-1.0577,0.97702,-0.53147,5.39756,-0.1781,-0.44267,89.57021,336.0322,236.7396,1,1,1,1107.74,624.9025,1.56329,1102.817,626.5325,1.55382,1111.493,625.3556,1.55831,636.3714,333.9011,1.50695,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55055520408917,FALSE,"fixation",5,"fixation",833.348300000012,6.53374708333333,0.35663375,0.43494125
1644850298893,445701.0204,1644850298913,"True",TRUE,5.10203,0.0828,1.08151,0.8996,0.1712,-0.40177,"True",6.53436,0.35538,0.44182,"SpatialMesh - 1058",-1.05986,0.97679,-0.53087,5.39756,-0.1781,-0.44267,89.56389,335.805,236.5107,1,1,1,1099.985,628.0673,1.56428,1095.057,629.7809,1.55496,1103.611,628.5565,1.55937,633.1042,335.2032,1.50802,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20077536996658,FALSE,"fixation",5,"fixation",833.348300000012,6.53374708333333,0.35663375,0.43494125
1644850298926,445734.3544,1644850298963,"True",TRUE,5.10131,0.08275,1.08143,0.89954,0.17007,-0.40238,"True",6.53438,0.35369,0.44039,"SpatialMesh - 1058",-1.05851,0.97697,-0.52919,5.39756,-0.1781,-0.44267,89.5581,335.5844,236.2879,1,1,1,1092.874,630.3873,1.56573,1087.96,632.1703,1.55654,1096.392,630.9072,1.56089,630.1122,336.1629,1.50954,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36614910730483,FALSE,"fixation",5,"fixation",833.348300000012,6.53374708333333,0.35663375,0.43494125
1644850298959,445767.6883,1644850298999,"True",TRUE,5.10084,0.08283,1.08158,0.89922,0.1712,-0.40261,"True",6.53439,0.35577,0.43973,"SpatialMesh - 1058",-1.05794,0.977,-0.53129,5.39756,-0.1781,-0.44267,89.55193,335.369,236.0711,1,1,1,1081.773,629.8486,1.56798,1076.85,631.6995,1.559,1085.109,630.4034,1.56324,625.4531,335.9368,1.51192,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25325639816456,FALSE,"fixation",5,"fixation",833.348300000012,6.53374708333333,0.35663375,0.43494125
1644850298993,445801.0221,1644850299016,"True",TRUE,5.10035,0.08321,1.08172,0.89855,0.17383,-0.40299,"True",6.53431,0.36062,0.4386,"SpatialMesh - 1058",-1.05688,0.97704,-0.53615,5.39756,-0.1781,-0.44267,89.54889,335.2637,235.9647,1,1,1,1073.644,633.1526,1.57005,1068.768,635.0872,1.56123,1076.872,633.7433,1.56539,622.0369,337.3089,1.51406,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.20311238910784,FALSE,"fixation",5,"fixation",833.348300000012,6.53374708333333,0.35663375,0.43494125
